Player,PTS,AST,TRB,STL,BLK,eFG%,3P%,2P%,FT%,TOV,Trp-Dbl,,,,,,,,,,,,,,,,,,,,
Devin Vassell,1323,277,261,73,23,0.55,0.372,0.544,0.801,108,0,,,,,,,,,,,,,,,,,,,,
CJ McCollum,1322,305,286,62,41,0.572,0.429,0.492,0.827,110,0,,,,,,,,,,,,,,,,,,,,
Myles Turner,1313,100,533,39,144,0.587,0.358,0.615,0.773,109,0,,,,,,,,,,,,,,,,,,,,
Austin Reaves,1300,450,352,66,25,0.568,0.367,0.583,0.853,174,1,,,,,,,,,,,,,,,,,,,,
Brandon Miller,1279,175,315,66,42,0.524,0.373,0.495,0.827,132,0,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,1278,110,449,50,26,0.578,0.399,0.559,0.899,77,0,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,1271,210,811,53,81,0.634,0,0.638,0.742,121,0,,,,,,,,,,,,,,,,,,,,
Fred VanVleet,1270,589,278,101,59,0.527,0.387,0.454,0.86,126,0,,,,,,,,,,,,,,,,,,,,
Donte DiVincenzo,1259,216,297,107,36,0.584,0.401,0.542,0.754,113,0,,,,,,,,,,,,,,,,,,,,
Jamal Murray,1250,384,242,57,39,0.554,0.425,0.51,0.853,125,0,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,1246,298,318,79,17,0.537,0.414,0.519,0.858,102,1,,,,,,,,,,,,,,,,,,,,
Terry Rozier,1205,342,247,63,21,0.518,0.363,0.498,0.869,106,0,,,,,,,,,,,,,,,,,,,,
Tobias Harris,1204,217,453,70,46,0.535,0.353,0.537,0.878,93,0,,,,,,,,,,,,,,,,,,,,
James Harden,1192,614,369,77,57,0.541,0.381,0.497,0.878,185,3,,,,,,,,,,,,,,,,,,,,
Scottie Barnes,1191,363,494,75,88,0.528,0.341,0.536,0.781,165,4,,,,,,,,,,,,,,,,,,,,
Jonathan Kuminga,1188,163,355,55,36,0.56,0.321,0.578,0.746,122,0,,,,,,,,,,,,,,,,,,,,
Jaden Ivey,1185,296,264,57,41,0.492,0.336,0.485,0.749,190,0,,,,,,,,,,,,,,,,,,,,
Keegan Murray,1172,129,420,79,59,0.548,0.358,0.56,0.831,64,0,,,,,,,,,,,,,,,,,,,,
RJ Barrett,1170,193,315,31,22,0.547,0.36,0.549,0.715,126,0,,,,,,,,,,,,,,,,,,,,
